sido,sigungu,medi_nm,addr,weekday_time,sat_time,holiday_time,tel,ssafy_nm,reg_dt
대구,달서구,달서구보건소,대구 달서구 월성동(월성2동) 281 달서구청,"10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00 10:00~11:30,14:00~16:00",053-667-5751,hyejin,2022-06-14 14:14:00
대구,달서구,삼일병원,대구 달서구 월배로 436,"09:00~12:30,13:30~21:00",09:00~18:00,10:00~17:00 10:00~17:00,053-659-3100,hyejin,2022-06-14 14:14:00
대구,달서구,구병원,대구 달서구 감삼북길 141,09:00~17:30,09:00~13:00,미운영 미운영,053-560-9114,hyejin,2022-06-14 14:14:00
대구,달서구,세강병원,대구 달서구 구마로 220,09:00~17:00,09:00~13:00,미운영 미운영,053-215-6200,hyejin,2022-06-14 14:14:00
대구,달서구,W병원,대구 달서구 달구벌대로 1632,09:00~18:00,09:00~13:00,미운영 미운영,053-550-5000,hyejin,2022-06-14 14:14:00
대구,달성군,달성군 보건소,대구 달성군 현풍읍 하리 253-2 ,"10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00 10:00~11:30,14:00~16:00",053-668-3333,hyejin,2022-06-14 14:14:00
대구,남구,대구광역시 남구보건소,대구 남구 대명2동 2003번지(영선길 34),"10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00 10:00~11:30,14:00~16:00",053-664-3601,hyejin,2022-06-14 14:14:00
대구,남구,드림병원,대구 남구 대명로 153,08:30~17:30,08:30~12:30,미운영 미운영,053-640-8800,hyejin,2022-06-14 14:14:00
대구,동구,대구광역시 동구보건소,대구 동구 검사동(동촌동) 1005-8 동구보건소,"10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00 10:00~11:30,14:00~16:00",053-662-3225,hyejin,2022-06-14 14:14:00
대구,동구,대구파티마병원,대구광역시 동구 아양로 99,09:00~17:00,09:00~12:00,미운영 미운영,053-940-7098,hyejin,2022-06-14 14:14:00
대구,북구,대구광역시 북구보건소,대구광역시 북구 침산3동 521-2 (침산동 북구보건소),"10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00 10:00~11:30,14:00~16:00",053-665-3211,hyejin,2022-06-14 14:14:00
대구,북구,대구가톨릭대학교 칠곡가톨릭병원,대구 북구 칠곡중앙대로 440,09:00~17:00,09:00~12:00,미운영 미운영,053-320-2500,hyejin,2022-06-14 14:14:00
대구,서구,대구광역시 서구보건소,대구 서구 평리3동 1230-9(국채보상로257),"10:00~11:30,14:00~16:00 (소독)11:30~14:00","10:00~11:30,14:00~16:00 (소독)11:30~14:00","10:00~11:30,14:00~16:00 (소독)11:30~14:00 10:00~11:30,14:00~16:00 (소독)11:30~14:00",053-663-4755,hyejin,2022-06-14 14:14:00
대구,서구,대구의료원,대구 서구 평리로 157,08:30~17:30 (소독)12:30~13:30,08:30~17:30 (소독)12:30~13:30,08:30~17:30 (소독)12:30~13:30 08:30~17:30 (소독)12:30~13:30,053-560-7575,hyejin,2022-06-14 14:14:00
대구,중구,대구광역시 중구보건소,대구 중구 태평로3가(성내3동) 174-1 중구보건소,"10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00","10:00~11:30,14:00~16:00 10:00~12:30",053-661-3121,hyejin,2022-06-14 14:14:00
대구,수성구,수성구보건소,대구 수성구 중동 266-5(수성로213) ,10:00~16:00 (소독)11:30~14:00,10:00~16:00 (소독)11:30~14:00,10:00~16:00 (소독)11:30~14:00 10:00~16:00 (소독)11:30~14:00,053-666-3266,hyejin,2022-06-14 14:14:00
경북,구미시,구미보건소,경북 구미시 선산대로 111,09:00~16:00,09:00~16:00,09:00~16:00 09:00~16:00,054-480-7837,hyejin,2022-06-14 14:14:04
경북,구미시,순천향대학교구미병원,경상북도 구미시 1공단로 179,09:00~17:00,09:00~12:00,미운영 미운영,054-468-9114,hyejin,2022-06-14 14:14:04
경북,구미시,구미차병원,경상북도 구미시 신시로10길 12 ,10:00~15:00,미운영,미운영 미운영,054-450-9367,hyejin,2022-06-14 14:14:04
경북,구미시,구미강동병원,경북 구미시 인동20길 46,09:00~16:30,09:00~12:00,미운영 미운영,1599-9669,hyejin,2022-06-14 14:14:04
경북,구미시,구미시선산보건소,경북 구미시 선산읍 선주로121,09:00~16:00 (소독)12:00~13:00,09:00~16:00 (소독)12:00~13:00,09:00~16:00 (소독)12:00~13:00 09:00~16:00 (소독)12:00~13:00,054-480-4130,hyejin,2022-06-14 14:14:04
